
record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,raw_hash
SCR_GF_1789014488_041,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,8:00 PM,10:10 PM,130.0,2 hr 10 min,Economy,13513.0,,,True,1624fbf123b6
SCR_GF_1789014488_042,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,8:45 PM,11:00 PM,135.0,2 hr 15 min,Economy,13513.0,,,True,c1cf038ea00c
SCR_GF_1789014488_043,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,9:45 PM,12:05 AM,140.0,2 hr 20 min,Economy,13513.0,,,True,a86007f56c1d
SCR_GF_1789014488_044,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,11:30 PM,1:45 AM,135.0,2 hr 15 min,Economy,13513.0,,,True,faaa5bb8f446
SCR_GF_1789014488_045,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,5:30 PM,7:45 PM,135.0,2 hr 15 min,Economy,14787.0,,,True,79ebc92144d8
SCR_GF_1789014488_046,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,7:00 PM,9:25 PM,145.0,2 hr 25 min,Economy,15088.0,,,True,d82bddb87797
SCR_GF_1789014488_047,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,10:45 PM,1:05 AM,140.0,2 hr 20 min,Economy,15088.0,,,True,b90bb5e31c03
SCR_GF_1789014488_048,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,7:55 PM,10:20 PM,145.0,2 hr 25 min,Economy,16154.0,,,True,b5acaedf6c76
SCR_GF_1789014489_049,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,9:00 PM,11:20 PM,140.0,2 hr 20 min,Economy,16583.0,,,True,752a05bd63f1
SCR_GF_1789014489_050,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,9:30 PM,11:55 PM,145.0,2 hr 25 min,Economy,16583.0,,,True,5fd325e61d3b
