record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,stops,raw_hash
SCR_GF_1789055816_025,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,5:30 PM,7:35 PM,125,2 hr 5 min,Economy,7678.0,,,True,Non-stop,33bcc77f4c26
SCR_GF_1789055816_026,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,9:45 PM,11:45 PM,120,2 hr,Economy,7845.0,,,True,Non-stop,1b8d679e05b8
SCR_GF_1789055816_027,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,8:45 PM,10:45 PM,120,2 hr,Economy,8072.0,,,True,Non-stop,e7231cd29973
SCR_GF_1789055816_028,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,7:55 AM,10:05 AM,130,2 hr 10 min,Economy,8135.0,,,True,Non-stop,5defd2a57018
SCR_GF_1789055816_029,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,7:55 PM,9:45 PM,110,1 hr 50 min,Economy,8427.0,,,True,Non-stop,14a9a6c4fe02
SCR_GF_1789055816_030,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,6:25 PM,8:20 PM,115,1 hr 55 min,Economy,8819.0,,,True,Non-stop,682c4fdc78bb
SCR_GF_1789055816_031,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,7:35 AM,9:35 AM,120,2 hr,Economy,9175.0,,,True,Non-stop,d669e9072386
SCR_GF_1789055816_032,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,7:40 PM,9:45 PM,125,2 hr 5 min,Economy,9934.0,,,True,Non-stop,53467b6755c6
SCR_GF_1789055816_033,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,1:10,3:05,115,1 hr 55 min,Economy,5325.0,,,True,Non-stop,cc0ba4cf4660
SCR_GF_1789055816_034,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,2:05,4:10,125,2 hr 5 min,Economy,5326.0,,,True,Non-stop,f2956e875ec5
SCR_GF_1789055816_035,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,11:30,1:35 AM,125,2 hr 5 min,Economy,5326.0,,,True,Non-stop,f7b02926d0fa
